Low,High,Last,Weight Avg
-,-,-,-
38.05,84.47,65.60,53.84
34.51,69.18,60.00,50.51
-,-,-,-
20.06,60.90,32.86,46.53
36.11,65.99,55.00,54.26
-,-,-,-
38.00,85.46,80.92,62.26
25.15,78.00,64.27,59.74
-,-,-,-
31.55,84.86,78.00,58.61
25.31,69.00,67.00,49.14
-,-,-,-
21.94,86.49,75.03,47.73
21.06,77.00,40.10,40.27
-,-,-,-
0.58,73.00,25.42,41.46
14.00,52.12,42.00,37.27
-,-,-,-
-4.37,50.94,30.00,37.77
7.24,49.40,30.58,34.26
-,-,-,-
15.57,66.36,45.54,36.51
21.60,79.88,52.01,41.40
-,-,-,-
22.91,51.20,39.00,35.11
18.70,55.58,52.28,41.47
-,-,-,-
12.11,63.00,20.51,35.00
-6.15,45.26,32.00,35.80
-,-,-,-
25.86,69.94,64.00,38.82
27.00,50.61,27.01,34.78
-,-,-,-
13.54,52.31,29.99,33.90
15.39,51.98,48.99,34.22
-,-,-,-
12.45,45.96,40.00,35.54
27.69,46.58,30.01,37.48
-,-,-,-
15.68,40.00,26.00,30.66
18.28,40.00,28.09,31.54
-,-,-,-
18.04,52.93,43.00,35.32
15.18,76.72,70.01,39.56
-,-,-,-
24.24,84.98,80.01,51.91
35.00,85.00,74.10,62.90
-,-,-,-
32.40,78.26,48.80,58.85
61.25,82.60,73.50,74.32
-,-,-,-
71.53,88.10,81.01,81.94
80.38,94.44,87.67,88.91
-,-,-,-
85.45,97.80,97.80,90.11
71.01,98.49,98.01,92.88
-,-,-,-
84.00,99.50,98.14,93.33
71.01,104.86,98.50,93.43
-,-,-,-
51.01,97.50,92.00,88.59
65.43,94.98,92.27,84.93
-,-,-,-
68.97,94.25,93.21,85.98
44.98,92.01,89.50,77.50
-,-,-,-
63.92,98.00,96.00,84.01
47.50,95.99,94.95,72.58
-,-,-,-
46.65,99.00,96.09,76.67
38.00,93.57,93.00,62.85
